sample,batch,lab,fastqc_r1_gc,fastqc_r1_adapt,fastqc_r1_kmer,fastqc_r1_seqqual,fastqc_r1_len,fastqc_r1_tilequal,fastqc_r1_dup,fastqc_r1_over,fastqc_r1_n,fastqc_r1_basequal,fastqc_r1_basecont,fastqc_r2_gc,fastqc_r2_adapt,fastqc_r2_kmer,fastqc_r2_seqqual,fastqc_r2_len,fastqc_r2_tilequal,fastqc_r2_dup,fastqc_r2_over,fastqc_r2_n,fastqc_r2_basequal,fastqc_r2_basecont,input_r1,input_r2,mlen_r1,mlen_r2,goodpairs,alnreads,coverage_1q,coverage_median,coverage_3q,coverage_mean,bwaFF,bwaFR,bwaRF,bwaRR,bwadir,bwa_insert_mean,bwa_insert_min,bwa_insert_max,consensus_N,consensus_lower,match_gaps,match_simil,match_len,match_score,match_id,shorah_snv,shorah_filtered,shorah_majority,shorah_absmaj,
38007444--231222Seq1--F9--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007445--231222Seq1--G1--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007446--231222Seq1--G10--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007447--231222Seq1--G11--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007448--231222Seq1--G2--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007449--231222Seq1--G3--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007450--231222Seq1--G4--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007451--231222Seq1--G5--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007452--231222Seq1--G6--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007453--231222Seq1--G7--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007454--231222Seq1--G8--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007455--231222Seq1--G9--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007456--231222Seq1--H1--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007457--231222Seq1--H10--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007458--231222Seq1--H11--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007459--231222Seq1--H2--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007460--231222Seq1--H3--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007461--231222Seq1--H4--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007462--231222Seq1--H5--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007463--231222Seq1--H6--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,PASS,FAIL,WARNING,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007464--231222Seq1--H7--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007465--231222Seq1--H8--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007466--231222Seq1--H9--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007467--301222Seq1--A1--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007468--301222Seq1--A10--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007469--301222Seq1--A11--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007470--301222Seq1--A12--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007471--301222Seq1--A2--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007472--301222Seq1--A3--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007473--301222Seq1--A4--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007474--301222Seq1--A5--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007475--301222Seq1--A6--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007476--301222Seq1--A7--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007477--301222Seq1--A8--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007478--301222Seq1--A9--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007479--301222Seq1--B1--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007480--301222Seq1--B10--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007481--301222Seq1--B11--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007482--301222Seq1--B12--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007483--301222Seq1--B2--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007484--301222Seq1--B3--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007485--301222Seq1--B4--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007486--301222Seq1--B5--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007487--301222Seq1--B6--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007488--301222Seq1--B7--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007489--301222Seq1--B8--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007490--301222Seq1--B9--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007491--301222Seq1--C1--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007492--301222Seq1--C10--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007493--301222Seq1--C11--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007494--301222Seq1--C12--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007495--301222Seq1--C2--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007496--301222Seq1--C3--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007497--301222Seq1--C4--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007498--301222Seq1--C5--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007499--301222Seq1--C6--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007500--301222Seq1--C7--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007501--301222Seq1--C8--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,PASS,FAIL,WARNING,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007502--301222Seq1--C9--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007503--301222Seq1--D1--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007504--301222Seq1--D10--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007505--301222Seq1--D11--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007506--301222Seq1--D12--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007507--301222Seq1--D2--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007508--301222Seq1--D3--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007509--301222Seq1--D4--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,WARNING,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,WARNING,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007510--301222Seq1--D5--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007511--301222Seq1--D6--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007512--301222Seq1--D7--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007513--301222Seq1--D8--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007514--301222Seq1--D9--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007515--301222Seq1--E1--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,FAIL,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007516--301222Seq1--E10--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007517--301222Seq1--E11--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007518--301222Seq1--E12--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007519--301222Seq1--E2--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,WARNING,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,WARNING,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
38007520--301222Seq1--E3--TYPE--opt,20230106_HN752DRX2,gfb,FAIL,PASS,FAIL,PASS,PASS,WARNING,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,WARNING,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,,,,,,,,,,,0,0,0,0,,0,,,0,0,,,,,,,,,,
